title,featuredLevel,publishDate,price,numBedrooms,numBathrooms,propertyType,propertySize,category,m_totalImages,ber_rating,longitude,latitude
"16 Dodderbrook Park, Ballycullen, Dublin 24",featured,1/27/2022,575000,4,3,Semi-D,162,Buy,38,A3,-6.342763,53.269493
"Apartment 27, The Oaks, Pelletstown Manor, Royal Canal Park, Dublin 15",featured,1/26/2022,320000,2,2,Apartment,70,Buy,15,D1,-6.323471,53.377173
"The Haven, 1 Cherryfield Walk, Clonsilla, Dublin 15",featured,1/28/2022,275000,2,1,Semi-D,58,Buy,14,D1,-6.421765,53.395523
"1A Cedarwood Green, Glasnevin, Dublin 11",featured,1/30/2022,490000,3,3,Detached,108,Buy,24,C3,-6.282095,53.396259
"Seamount Rise, Malahide, Co. Dublin",featured,1/11/2022,625000,3,3,Terrace,95,New Homes,24,G,-6.256121,53.362106
"Seamount Rise, Malahide, Co. Dublin",featured,1/11/2022,850000,4,3,Semi-D,84,New Homes,25,E1,-8.486444,51.918711
"Seamount Rise, Malahide, Co. Dublin",featured,1/11/2022,625000,3,3,Terrace,,New Homes,29,SI_666,-7.107895,52.255349
"Seamount Rise, Malahide, Co. Dublin",featured,1/11/2022,850000,4,3,Semi-D,73,New Homes,21,C1,-6.286219,53.337464
"6 St Patrick's Cottages, Rathfarnham, Dublin 14",featured,1/30/2022,525000,3,1,Bungalow,70,Buy,21,F,-9.642424,51.553191
"46 Longmeadows, Conyngham Road, Islandbridge, Dublin 8",featured,1/30/2022,360000,2,1,Apartment,62,Buy,42,B3,-7.570388,52.045685
"35 Merrion Strand, Sandymount, Dublin 4",featured,1/30/2022,525000,2,1,Terrace,62,Buy,26,D1,-6.969209,52.263107
"9 Ballygarra Park, Garristown, Co. Dublin",featured,1/28/2022,300000,3,2,Semi-D,120,Buy,18,D1,-6.944157,52.389123
"Apartment 225, The Cubes 7, Beacon South Quarter, Sandyford, Dublin 18",featured,1/25/2022,325000,2,2,Apartment,85,Buy,18,C1,-9.004779,53.730969
"64 Fitzroy Avenue, Drumcondra, Dublin 3",featured,1/28/2022,445000,3,2,Terrace,95,Buy,15,B2,-6.958447,52.395209
"Apartment 6, Block A, The Barley House, Dublin 8",featured,1/26/2022,350000,2,2,Apartment,73,Buy,13,C2,-6.233447,53.443949
"39 Temple Hill, Terenure, Dublin 6W",featured,1/30/2022,395000,2,2,Apartment,78,Buy,20,C2,-8.486738,51.919672
"8 Glen Ellan Gardens, Swords, Co. Dublin",featured,1/30/2022,435000,3,3,Semi-D,155,Buy,29,E2,-8.481995,51.883494
"54 Whitethorn Road, Clonskeagh, Dublin 14",featured,1/30/2022,950000,3,2,Semi-D,127,Buy,20,E1,-6.471708,53.47075
"44 Boroimhe Beech, Swords, Co. Dublin",featured,1/26/2022,270000,2,2,Apartment,58,Buy,30,C1,-8.5680263,53.8231495
"Apartment 19, Riverbank, Dodder Park Road, Rathfarnham, Dublin 14",featured,1/28/2022,375000,2,1,Apartment,61,Buy,35,C1,-7.242385,52.643854
"20 Thornleigh Square, Swords, Co. Dublin",featured,1/27/2022,395000,5,3,Semi-D,157,Buy,19,D1,-9.497391,52.043347
